,user,text,favorite_count,retweet_count,created_at
122,elonmusk,"Remarkable how @nytimes, @latimes &amp; @washingtonpost moved in lockstep, with @WSJ trailing by ~6 months",20714,1918,2023-05-09 16:16:38+00:00
123,elonmusk,@historyinmemes Highly recommend visiting. Ancient Rome was remarkably advanced in technology &amp; colorful in decor.,7706,390,2023-05-09 16:14:17+00:00
124,elonmusk,Massive public manipulation https://t.co/MeZxZPr1zw,54270,11316,2023-05-09 16:12:06+00:00
125,elonmusk,"@Austen News orgs like to control the narrative &amp; hate being corrected, but at least people know they can come to this platform for a more accurate understanding of the world",5834,682,2023-05-09 16:10:06+00:00
126,elonmusk,WhatsApp cannot be trusted https://t.co/3gdNxZOLLy,276066,48504,2023-05-09 16:07:14+00:00
127,elonmusk,@RyanMaue @CommunityNotes 💪,2237,130,2023-05-09 16:05:49+00:00
128,elonmusk,"@satyanadella AI brings benefits, but also risks",3648,289,2023-05-09 16:01:24+00:00
129,elonmusk,@shellenberger Wow,1422,142,2023-05-09 15:56:43+00:00
130,elonmusk,@RaheemKassam @CommunityNotes It would seem that he is *extremely* partisan,7088,673,2023-05-09 15:46:45+00:00
131,elonmusk,"Interesting article. Perhaps @CommunityNotes can add further context &amp; corrections.

https://t.co/nor7Ksk70H",60196,12671,2023-05-09 15:39:56+00:00
132,elonmusk,@BillyM2k @TheRabbitHole84 Wow,2769,264,2023-05-09 15:31:09+00:00
133,elonmusk,@SethDillon @TheBabylonBee I subscribed!,4985,208,2023-05-09 15:26:28+00:00
134,elonmusk,"@WallStreetSilv It won’t get easier to pay down the debt. 

As debt rises for countries, interest payments consume a larger part of the budget, until there is little room for anything else. 

TANSTAAFL",15862,1602,2023-05-09 15:23:36+00:00
135,elonmusk,@NJBeisner It is borderline illegal to be Republican in LA or SF,12666,1113,2023-05-09 15:18:34+00:00
136,elonmusk,@libertniko @GRDecter But can they do so without going bankrupt?,730,58,2023-05-09 15:14:08+00:00
137,elonmusk,"@krassenstein How do we know that was actually his social media account? 

Seems very odd that he would have a Russian social media account when he doesn’t speak Russian.",32784,2544,2023-05-09 15:05:02+00:00
138,elonmusk,"@GRRMspeaking Solid points in support of junior writers and it would not be a significant impact on show budgets. 

Also, shows will be better if junior writers are able to understand the whole picture.",1848,138,2023-05-09 14:56:44+00:00
139,elonmusk,@TheRabbitHole84 @cremieuxrecueil Both are rising … troubling,5303,391,2023-05-09 14:43:16+00:00
140,elonmusk,@shellenberger Good thread,3327,308,2023-05-09 14:40:40+00:00
141,elonmusk,@HennieLudick @Jason 😂,433,33,2023-05-09 14:33:38+00:00
142,elonmusk,@TitterDaily Under consideration. It’s tough to add all these functions to the main timeline without creating a button forest.,4685,265,2023-05-09 14:28:39+00:00
143,elonmusk,@LauraLoomer Strange that election officials from pivotal regions attended a far left conference when they’re supposed to be impartial,68497,15295,2023-05-09 13:47:44+00:00
144,elonmusk,"@tobi Haha true, I just bookmarked it",865,62,2023-05-09 13:32:39+00:00
145,elonmusk,@MAstronomers We should go there,54555,2328,2023-05-09 12:51:45+00:00
146,elonmusk,@dogeofficialceo Sigh,6067,318,2023-05-09 12:28:47+00:00
147,elonmusk,"For my part, I just want to support content creators, whether or not they provide extra content when you subscribe",29947,1325,2023-05-09 06:41:46+00:00
148,elonmusk,@InternetH0F Yeah,7857,182,2023-05-09 06:17:14+00:00
149,elonmusk,@AnthonyLewayne @LibertyCappy Yes,1039,73,2023-05-09 06:07:03+00:00
150,elonmusk,@LibertyCappy lol,3333,172,2023-05-09 06:02:30+00:00
151,elonmusk,@stevenmarkryan !,1790,135,2023-05-09 05:32:07+00:00
152,elonmusk,"@Falconwingsnj No, that’s silly. Will fix it.",127499,1981,2023-05-09 04:54:08+00:00
153,elonmusk,@TRHLofficial Very strange,11396,791,2023-05-09 04:49:32+00:00
154,elonmusk,@CoffeeBlackMD @DavidSacks Demolition Man’s prediction of the future was shockingly accurate,971,85,2023-05-09 04:29:18+00:00
155,elonmusk,@DavidSacks 🎯,2167,173,2023-05-09 04:27:13+00:00
156,elonmusk,@Jason Better than pink eye,9394,410,2023-05-09 04:23:53+00:00
157,elonmusk,"@stillgray I think we should significantly increase legal immigration. 

If someone has a track record of working hard and hasn’t committed crimes, they should be welcomed.",249454,16498,2023-05-09 00:41:07+00:00
158,elonmusk,@AlecStapp 🤣🤣,2401,125,2023-05-09 00:36:33+00:00
159,elonmusk,"Your support of content creators on this platform is very much appreciated.

We keep none of the subscription revenue for the first 12 months &amp; only 10% thereafter.",140367,9766,2023-05-09 00:35:17+00:00
160,elonmusk,@WallStreetSilv I subscribed,3912,212,2023-05-09 00:32:49+00:00
161,elonmusk,@ID_AA_Carmack But it is important to free up abandoned handles,6768,269,2023-05-08 23:44:09+00:00
162,elonmusk,@ID_AA_Carmack The accounts will be archived,10097,433,2023-05-08 23:43:33+00:00
163,elonmusk,@EndWokeness Odd,27795,2226,2023-05-08 23:29:56+00:00
164,elonmusk,@nomad_tesla @StockMKTNewz @SECGov Good question,1057,72,2023-05-08 23:28:46+00:00
165,elonmusk,@TheBabylonBee 😂,7551,273,2023-05-08 23:13:19+00:00
166,elonmusk,@monitoringbias Interesting,9343,690,2023-05-08 23:10:37+00:00
167,elonmusk,@paulg Major,5676,323,2023-05-08 23:08:39+00:00
168,elonmusk,@TRHLofficial This gets weirder by the moment,25194,2348,2023-05-08 22:00:14+00:00
169,elonmusk,@KanekoaTheGreat @cb_doge I wonder why,5414,514,2023-05-08 21:59:04+00:00
170,elonmusk,@KobeissiLetter The difference in interest paid is a massive forcing function,2852,205,2023-05-08 21:56:08+00:00
171,elonmusk,"@DriveTeslaca @baglino @esherifftv More importantly, there are lots of mounting points for third party hardware on Cybertruck",6626,435,2023-05-08 21:53:47+00:00
172,elonmusk,@KanekoaTheGreat Wow,16790,990,2023-05-08 21:52:35+00:00
173,elonmusk,@TitterDaily @Tesla @marmars @ehikian We’re adding those features,1728,146,2023-05-08 21:51:48+00:00
