,user,text,favorite_count,retweet_count,created_at
34,SudhanshuTrived,"परिवार प्रथम से राष्ट्र प्रथम का दौर

2014 से 2023 तक प्रति व्यक्ति आय तथा खेल बजट के भारी अंतर के आँकड़े दर्शा रहे हैं की देशवासियों की जीवन शैली में बड़ा सुधार हुआ है और पैसा भ्रष्टाचार की भेंट चढ़ने के बजाय ईमानदारी से देश के लिए लग रहा है। @narendramodi ⁦@BJP4India⁩ https://t.co/WRG3Nridyi",1559,323,2023-04-21 15:30:30+00:00
35,SudhanshuTrived,"“याद रखना है Good governance is the key, जब people centric सरकार होती है, development oriented सरकार होती है, वो समस्याओं का समाधान भी करती है, और बेहतर रिज़ल्ट भी देती है”

सिविल सर्विस डे पर दिल्ली विज्ञान भवन में अपने संबोधन में PM श्री @narendramodi जी https://t.co/esFDx2e02y",2672,434,2023-04-21 12:38:42+00:00
36,SudhanshuTrived,This evening in Bengaluru interacted with selected MSME entrepreneurs @LaghuUdyog Bharati Karnataka and shared views about India’s role in emerging new economic world order. https://t.co/FUyBYCcRIP,827,209,2023-04-20 16:51:11+00:00
37,SudhanshuTrived,"IMF has praised the Digital infrastructure created by India and asked other countries to learn from it. 
This Digital emergence is due to visionary leadership of PM Sri @narendramodi ji in which Karnataka is at forefront attracting maximum FDI in this field. https://t.co/0IpIb3ITwc",777,224,2023-04-20 16:41:23+00:00
38,SudhanshuTrived,"IMF has praised the Digital infrastructure created by India and asked other countries to learn from it. 
This Digital emergence is due to visionary leadership of PM Sri ⁦@narendramodi⁩ ji in which Karnataka is at forefront attracting maximum FDI in this field. https://t.co/RImZofqwR8",1012,276,2023-04-20 16:40:00+00:00
39,SudhanshuTrived,"The stunningly shocking ‘brightest’ star of Congress’ Star campaigner list for Karnataka is Imran Pratapgadhi who wrote
“किसी का कभी ऐसा क़द नहीं होगा, सदियों तक कोई अतीक अहमद नहीं होगा”

ये हैं राहुल की “मोहब्बत की दुकान” की असली पहचान।कभी आतंकियों तो कभी माफ़ियाओं का स्तुतिगान https://t.co/zrd8t2mK5l",1235,276,2023-04-20 12:04:08+00:00
40,SudhanshuTrived,"“कुछ साल पहले संयुक्त राष्ट्र संघ में मैंने गर्व से कहा था भारत ने दुनिया को युद्ध नहीं बुद्ध दिए हैं, जहाँ बुद्ध की करुणा हो वहाँ संघर्ष नहीं समन्वय होता है”

ग्लोबल बुद्धिस्ट समिट के उद्घाटन में PM श्री @narendramodi जी। https://t.co/zmCuDDUrg4",3683,594,2023-04-20 11:54:56+00:00
41,SudhanshuTrived,"My Press Conference today @BJP4Karnataka Media Centre in Bengaluru 
https://t.co/tGlEjTD7UE https://t.co/GYEwOZA9aO",601,175,2023-04-20 09:57:27+00:00
42,SudhanshuTrived,Today addressed Press Conference and had discussions with party office bearers @BJP4Karnataka regional media centre in Mysore https://t.co/Ez2WVesxAo,995,160,2023-04-19 15:26:32+00:00
43,SudhanshuTrived,Today got the opportunity to interact and address the Thinker’s Forum in Bengaluru https://t.co/XbnMP3OJXE,1610,224,2023-04-18 18:06:29+00:00
44,SudhanshuTrived,"पाई-पाई से सुनिश्चित की गरीब की भलाई

9.5 करोड़ से ज़्यादा महिलाओं को उज्ज्वला गैस, 11.76 करोड़ से ज़्यादा घरों को जल, सभी घरों में बिजली पहुँचाकर, देश का पैसा जनता में लगाकर ⁦@narendramodi⁩ सरकार ने ईमानदारी निभाई।⁦@BJP4India⁩ https://t.co/OmVfvbakD7",1564,324,2023-04-18 10:33:19+00:00
45,SudhanshuTrived,Today evening interacted and addressed intellectual meet organised by @BJP4Karnataka at Belgaum https://t.co/IoxzxDXTmS,1145,243,2023-04-16 17:03:50+00:00
46,SudhanshuTrived,"हमारी ⁦@BJP4Karnataka⁩ सरकार के में FDI को लाने व गत वर्ष ease of doing Buisness भी कर्नाटक सबसे आगे रहा ।शिवमोगा का नया एयरपोर्ट, बेंगलुरु-मैसूर एक्सप्रेस-वे, बेलगावी में रेलवे स्टेशन का नया स्वरूप दर्शाता है कि बहुआयामी विकास केंद्र और राज्य सरकार के प्रयासों से हुआ है। https://t.co/TZvKFhzzXY",2312,397,2023-04-16 16:10:01+00:00
47,SudhanshuTrived,Today inaugurated regional media centre  of @BJP4Karnataka and addressed Press Conference at Belgaum https://t.co/Kj444ire1Y,1221,181,2023-04-16 15:58:08+00:00
48,SudhanshuTrived,"SDPI leader in Karnataka said that they are pressurised by Congress to withdraw the candidates.
Previously another leader said that in 2018 SDPI had an understanding with Congress 
Now Cong. should tell what is their relationship with SDPI.
My PC @BJP4Karnataka at Bengaluru today https://t.co/wOSTVcP14y",1146,320,2023-04-15 16:04:48+00:00
49,SudhanshuTrived,"“वोट बैंक की राजनीति हेतु गहलोत सरकार ने कोर्ट में ढंग से बहस नहीं की और सारे जयपुर बम ब्लास्ट के आरोपी छूट गये”

सरकारी वकील की कमजोरी से बम ब्लास्ट के आरोपियों के बरी होने पर केन्द्रीय गृह मंत्री श्री @AmitShah जी का राजस्थान सरकार से प्रश्न https://t.co/EeZSZdoJ3b",2354,540,2023-04-15 15:17:42+00:00
50,SudhanshuTrived,"विविधता में भारत की एकता, सांस्कृतिक विरासत की सम्मानपूर्वक विश्व के समक्ष प्रस्तुति

गुवाहाटी में प्रधानमंत्री श्री @NarendraModi जी की उपस्थिति में एक ही स्थान पर सबसे बड़े बिहू नृत्य का बना अभूतपूर्व गिनीज़ रिकॉर्ड। https://t.co/LmxSOWgVfI",3051,504,2023-04-14 18:06:21+00:00
51,SudhanshuTrived,"संविधान के निर्माता, भारत रत्न श्री बाबा साहब अंबेडकर जी को जयंती पर नमन। #AmbedkarJayanti2023 https://t.co/lwIcpnRhJN",995,202,2023-04-14 13:16:53+00:00
52,SudhanshuTrived,"Global bright spot in exports performance!

PM श्री @narendramodi जी के नेतृत्व में हम आज एक्सपोर्ट और इंटरनेशनल ट्रेड के नये आयाम स्थापित कर रहे है, ये भारत के 5 ट्रिलियन डॉलर की अर्थव्यवस्था के विज़न को साकार करने का रोडमैप है।  #NewExportRecord https://t.co/WtsCbi62MY",756,287,2023-04-13 17:07:55+00:00
53,SudhanshuTrived,Today got the opportunity to interact with Facaulty &amp; Students on eve of Baba Saheb Ambedkar’s Jayanti organised at Jawahar Lal University @JNU_official_50 along with Vice Chancellor Prof. Shantishree D Pandit and Chairman of Dr. Ambedkar Chair Prof. @VivekkumarProf https://t.co/mAhbINakpM,1069,172,2023-04-13 16:13:26+00:00
54,SudhanshuTrived,Today got the opportunity to interact and address the Facaulty &amp; Students of Ramjas College of Delhi University @UnivofDelhi https://t.co/3sR9jPNle0,1146,149,2023-04-13 09:03:00+00:00
55,SudhanshuTrived,"हम अपने सिद्धांतों के अनुसार PM श्री ⁦@narendramodi⁩ जी के नेतृत्व में व्यवस्थित ढंग से विचारधारा आधारित उन मुद्दों को उठाते हुए जिनका विपक्ष उपहास उड़ाता था, राजनीति की धारा बदलकर सत्ता की दिशा तय करते है, और विपक्ष के लोग वो है जो सत्ता की धारा देखकर अपनी दिशा तय करते है। https://t.co/u52mYnnO66",2568,688,2023-04-12 17:11:27+00:00
56,SudhanshuTrived,From 8 to 8.50 pm I’m @TNNavbharat,202,23,2023-04-12 14:22:11+00:00
57,SudhanshuTrived,From 5.05 to 5.50 pm I’m @aajtak,185,13,2023-04-12 11:29:29+00:00
